,state,geoid,intent,period,rate,count_sup,data_as_of,fa_homicide_rate,fa_suicide_rate,gun_laws
0,Alabama,01,FA_Deaths,2023,25.3,1292,2025-09-05T00:00:00.000,12.4,12.1,Very Weak
1,Alaska,02,FA_Deaths,2023,24.0,176,2025-09-05T00:00:00.000,6.4,16.4,Very Weak
2,Arizona,04,FA_Deaths,2023,19.1,1419,2025-09-05T00:00:00.000,5.5,12.8,Very Weak
3,Arkansas,05,FA_Deaths,2023,21.9,671,2025-09-05T00:00:00.000,8.6,12.8,Very Weak
4,California,06,FA_Deaths,2023,8.2,3209,2025-09-05T00:00:00.000,3.7,4.2,Very Strong
5,Colorado,08,FA_Deaths,2023,17.3,1019,2025-09-05T00:00:00.000,4.4,12.3,Very Strong
6,Connecticut,09,FA_Deaths,2023,6.2,225,2025-09-05T00:00:00.000,2.9,3.1,Very Strong
7,Delaware,10,FA_Deaths,2023,12.0,124,2025-09-05T00:00:00.000,4.2,7.4,Very Strong
8,District of Columbia,11,FA_Deaths,2023,33.1,225,2025-09-05T00:00:00.000,31.1,1.5,
9,Florida,12,FA_Deaths,2023,14.4,3253,2025-09-05T00:00:00.000,4.7,9.3,Neutral
10,Georgia,13,FA_Deaths,2023,18.8,2070,2025-09-05T00:00:00.000,8.1,10.1,Very Weak
11,Hawaii,15,FA_Deaths,2023,5.1,73,2025-09-05T00:00:00.000,1.4,3.5,Very Strong
12,Idaho,16,FA_Deaths,2023,18.1,356,2025-09-05T00:00:00.000,1.7,15.5,Very Weak
13,Illinois,17,FA_Deaths,2023,13.5,1691,2025-09-05T00:00:00.000,7.7,5.5,Very Strong
14,Indiana,18,FA_Deaths,2023,18.3,1258,2025-09-05T00:00:00.000,6.4,11.0,Weak
15,Iowa,19,FA_Deaths,2023,10.6,341,2025-09-05T00:00:00.000,2.3,8.3,Very Weak
16,Kansas,20,FA_Deaths,2023,16.2,475,2025-09-05T00:00:00.000,4.7,10.9,Very Weak
17,Kentucky,21,FA_Deaths,2023,18.6,841,2025-09-05T00:00:00.000,5.7,12.0,Very Weak
18,Louisiana,22,FA_Deaths,2023,27.6,1261,2025-09-05T00:00:00.000,16.1,10.6,Very Weak
19,Maine,23,FA_Deaths,2023,14.3,200,2025-09-05T00:00:00.000,2.6,11.3,Neutral
20,Maryland,24,FA_Deaths,2023,11.9,737,2025-09-05T00:00:00.000,7.5,4.3,Very Strong
21,Massachusetts,25,FA_Deaths,2023,3.9,270,2025-09-05T00:00:00.000,1.7,2.1,Very Strong
22,Michigan,26,FA_Deaths,2023,13.8,1384,2025-09-05T00:00:00.000,5.2,8.3,Strong
23,Minnesota,27,FA_Deaths,2023,9.1,525,2025-09-05T00:00:00.000,2.2,6.6,Strong
24,Mississippi,28,FA_Deaths,2023,28.7,844,2025-09-05T00:00:00.000,16.8,11.0,Very Weak
25,Missouri,29,FA_Deaths,2023,21.4,1324,2025-09-05T00:00:00.000,8.5,12.0,Very Weak
26,Montana,30,FA_Deaths,2023,21.8,247,2025-09-05T00:00:00.000,2.6,18.2,Very Weak
27,Nebraska,31,FA_Deaths,2023,10.8,213,2025-09-05T00:00:00.000,1.7,8.3,Neutral
28,Nevada,32,FA_Deaths,2023,19.3,616,2025-09-05T00:00:00.000,5.8,13.1,Strong
29,New Hampshire,33,FA_Deaths,2023,10.2,143,2025-09-05T00:00:00.000,1.0,8.7,Weak
30,New Jersey,34,FA_Deaths,2023,4.6,430,2025-09-05T00:00:00.000,2.2,2.3,Very Strong
31,New Mexico,35,FA_Deaths,2023,25.1,530,2025-09-05T00:00:00.000,10.3,13.4,Strong
32,New York,36,FA_Deaths,2023,4.8,943,2025-09-05T00:00:00.000,2.2,2.5,Very Strong
33,North Carolina,37,FA_Deaths,2023,16.6,1803,2025-09-05T00:00:00.000,6.7,9.2,Neutral
34,North Dakota,38,FA_Deaths,2023,13.1,103,2025-09-05T00:00:00.000,2.2,10.8,Very Weak
35,Ohio,39,FA_Deaths,2023,15.0,1768,2025-09-05T00:00:00.000,5.9,8.8,Weak
36,Oklahoma,40,FA_Deaths,2023,20.1,814,2025-09-05T00:00:00.000,5.5,14.1,Very Weak
37,Oregon,41,FA_Deaths,2023,15.2,642,2025-09-05T00:00:00.000,3.2,11.6,Very Strong
38,Pennsylvania,42,FA_Deaths,2023,13.9,1807,2025-09-05T00:00:00.000,5.3,8.3,Strong
39,Rhode Island,44,FA_Deaths,2023,5.3,58,2025-09-05T00:00:00.000,1.6,3.5,Very Strong
40,South Carolina,45,FA_Deaths,2023,19.0,1019,2025-09-05T00:00:00.000,8.4,9.9,Very Weak
41,South Dakota,46,FA_Deaths,2023,12.2,112,2025-09-05T00:00:00.000,1.2,9.7,Very Weak
42,Tennessee,47,FA_Deaths,2023,22.3,1587,2025-09-05T00:00:00.000,9.4,12.3,Very Weak
43,Texas,48,FA_Deaths,2023,15.0,4561,2025-09-05T00:00:00.000,5.6,8.8,Very Weak
